,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
10-Aug,11580,9280,26630,47480,591220,,,451310,,,1090010
10-Sep,10840,10290,24350,45480,629830,,,475680,,,1151000
10-Oct,9370,9120,29290,47770,766100,,,494460,,,1308330
10-Nov,9480,9790,24300,43570,537150,,,518090,,,1098810
10-Dec,10040,18170,21640,49850,464470,,,678360,,,1192680
11-Jan,10510,9780,56240,76530,909410,,,473780,,,1459720
11-Feb,10550,9050,64770,84370,516920,,,565140,,,1166430
11-Mar,11610,9160,32620,53390,514420,,,500100,,,1067910
11-Apr,11210,10290,25930,47430,595190,,,460320,,,1102930
11-May,11030,7330,26390,44740,605640,,,384520,,,1034900
11-Jun,11700,8470,25650,45830,563200,,,387680,,,996710
11-Jul,11550,9340,49920,70810,805860,,,505640,,,1382310
11-Aug,12890,9250,28920,51050,636890,,,467010,,,1154950
11-Sep,12730,9420,29530,51680,696050,,,431040,,,1178760
11-Oct,12380,9270,32520,54170,835650,,,499530,,,1389340
11-Nov,12970,10080,27820,50870,584320,,,522760,,,1157950
11-Dec,13920,17920,24220,56060,502380,,,674790,,,1233230
12-Jan,14250,9860,60150,84260,951790,,,501990,,,1538040
12-Feb,14550,9380,67560,91480,577270,,,565750,,,1234500
12-Mar,14680,10090,34450,59220,553070,,,543830,,,1156120
12-Apr,13340,8670,33120,55140,674400,,,465100,,,1194630
12-May,12650,7190,25910,45750,575630,,,393430,,,1014810
12-Jun,13470,9170,32000,54630,622270,,,420510,,,1097420
12-Jul,11750,9600,54760,76100,853350,,,499860,,,1429310
12-Aug,13220,9980,33890,57100,647880,,,498740,,,1203720
12-Sep,12490,10170,34220,56880,720110,,,475470,,,1252460
12-Oct,11950,9750,33850,55550,877760,,,521010,,,1454320
12-Nov,11570,10270,29680,51520,610430,,,560100,,,1222060
12-Dec,12950,18900,27960,59810,542010,,,721320,,,1323140
13-Jan,12380,10000,67970,90350,999420,,,488670,,,1578440
13-Feb,12690,10710,62270,85680,558780,,,616970,,,1261420
13-Mar,14110,10980,39840,64930,585700,,,588870,,,1239490
13-Apr,12820,9070,34080,55970,709330,,,461540,,,1226840
13-May,13180,7240,26820,47240,637280,,,413330,,,1097850
13-Jun,13580,9220,32190,54980,659140,,,447520,,,1161650
13-Jul,11780,10100,56190,78070,902240,,,530910,,,1511220
13-Aug,13600,9990,35750,59330,716060,,,529350,,,1304740
13-Sep,12210,10000,33920,56130,775680,,,493890,,,1325700
13-Oct,12030,9130,35180,56340,933680,,,542760,,,1532780
13-Nov,11370,9980,29070,50410,655290,,,578130,,,1283830
13-Dec,11930,18880,24680,55500,577000,,,789760,,,1422260
14-Jan,11600,10840,61930,84380,1098010,,,562510,,,1744890
14-Feb,11700,9550,67400,88650,612770,,,637630,,,1339050
14-Mar,11720,9400,35800,56910,622410,,,600820,,,1280150
14-Apr,10800,9140,31080,51020,751650,,,528560,,,1331230
14-May,11580,7470,26430,45470,669200,,,472880,,,1187550
14-Jun,10380,8900,29480,48770,672750,,,457900,,,1179420
14-Jul,9620,9900,54340,73860,930600,,,589650,,,1594110
14-Aug,11790,9430,35260,56480,765060,,,540910,,,1362450
14-Sep,10450,9490,30880,50810,808460,,,521750,,,1381030
14-Oct,10280,9330,33470,53080,934740,,,586680,,,1574500
14-Nov,10310,9720,27040,47060,684510,,,611230,,,1342800
14-Dec,11850,18770,24160,54780,588940,,,811830,,,1455550
15-Jan,11270,9750,61650,82670,1150240,,,547430,,,1780350
15-Feb,12000,10760,59850,82610,607290,,,726060,,,1415950
15-Mar,13330,10960,38350,62640,646250,,,679270,,,1388160
15-Apr,11690,8820,31130,51650,763580,,,550150,,,1365370
15-May,11950,7940,24620,44500,684920,,,485660,,,1215090
15-Jun,10580,9140,27810,47530,697890,,,488150,,,1233570
15-Jul,9370,10080,57940,77390,940490,,,628270,,,1646140
15-Aug,11740,9690,33510,54940,790400,,,574140,,,1419480
15-Sep,10140,9730,30150,50010,834870,,,571990,,,1456880
15-Oct,9370,9670,34290,53330,971250,,,625800,,,1650380
15-Nov,9560,10580,27650,47800,705370,,,671540,,,1424700
15-Dec,10390,20520,24200,55120,627770,,,901320,,,1584200
16-Jan,10070,10360,61000,81430,1209170,,,617670,,,1908270
16-Feb,10830,10900,71640,93380,668150,,,798610,,,1560130
16-Mar,12070,11720,34600,58400,664190,,,757350,,,1479930
16-Apr,11310,9280,30080,50670,812520,,,610500,,,1473700
16-May,11710,8010,24550,44260,719280,,,541280,,,1304820
16-Jun,10930,10270,28700,49900,721850,,,555070,,,1326820
16-Jul,10570,11060,67090,88720,1024590,,,715780,,,1829100
16-Aug,13430,10300,33340,57060,822320,,,632140,,,1511510
16-Sep,11680,10740,34110,56530,883760,,,647040,,,1587330
16-Oct,11090,10760,36460,58310,1024640,,,695920,,,1778870
16-Nov,11170,11070,30120,52360,738730,,,721830,,,1512920
16-Dec,11710,21700,26140,59540,680560,,,976150,,,1716250
17-Jan,9680,12010,60290,81980,1260360,,,723990,,,2066340
17-Feb,11960,11150,81960,105080,738700,,,787580,,,1631360
17-Mar,11690,11520,36820,60020,690430,,,772230,,,1522680
17-Apr,10820,11210,33810,55840,893920,,,700010,,,1649770
17-May,10560,8610,26860,46020,775960,,,579090,,,1401070
17-Jun,9330,10500,32110,51940,763180,,,606010,,,1421130
17-Jul,8260,11180,72510,91950,1070740,,,746410,,,1909100
17-Aug,10250,11020,36220,57490,863230,,,702900,,,1623620
17-Sep,9990,10950,35450,56390,946170,,,663590,,,1666150
17-Oct,8800,10660,40110,59570,1078680,,,741360,,,1879610
17-Nov,9140,11000,31840,51990,773110,,,777090,,,1602190
17-Dec,9280,20960,29080,59310,680770,,,1015040,,,1755130
18-Jan,9120,11370,70680,91160,1336960,,,702580,,,2130700
18-Feb,9350,11820,84440,105610,709020,,,914530,,,1729160
18-Mar,10990,12410,45850,69240,740730,,,872350,,,1682320
18-Apr,9390,9640,40450,59480,929040,,,679780,,,1668310
18-May,9360,8790,30550,48700,822240,,,609450,,,1480380
18-Jun,8970,10440,38230,57640,808710,,,646650,,,1513000
18-Jul,8310,11370,82230,101900,1133600,,,774360,,,2009860
18-Aug,10420,11010,39240,60670,916200,,,741710,,,1718580
18-Sep,8490,10860,38470,57820,973970,,,690190,,,1721970
18-Oct,7710,10900,43350,61960,1147820,,,753960,,,1963730
18-Nov,7410,11330,36760,55490,810320,,,802160,,,1667980
18-Dec,8150,21690,33050,62890,732810,,,1057900,,,1853600
19-Jan,7990,11430,74490,93910,1392850,,,731130,,,2217890
19-Feb,8600,11420,95080,115100,746080,,,927240,,,1788430
19-Mar,9280,10980,50030,70280,753510,,,836350,,,1660140
19-Apr,7780,10740,39070,57590,916430,,,700370,,,1674400
19-May,9690,9500,34130,53320,866280,,,668280,,,1587870
19-Jun,9060,10160,40620,59840,841950,,,660340,,,1562130
19-Jul,7720,11220,76870,95810,1122590,,,790380,,,2008780
19-Aug,9660,11880,40960,62500,930970,,,789200,,,1782670
19-Sep,7520,10630,40170,58320,992820,,,694960,,,1746100
19-Oct,7280,10770,41140,59190,1145970,,,774020,,,1979190
19-Nov,7670,11600,36940,56210,849790,,,815910,,,1721900
19-Dec,7810,21850,32250,61910,749660,,,1077720,,,1889300
20-Jan,7810,11900,73560,93270,1397420,,,766590,,,2257280
20-Feb,7780,11140,78920,97840,785390,,,685410,,,1568650
20-Mar,6270,10320,35120,51700,538360,,,331890,,,921950
20-Apr,410,1250,210,1870,17050,,,2250,,,21170
20-May,680,1380,240,2290,13380,,,3440,,,19120
20-Jun,980,2690,290,3960,15760,,,5400,,,25120
20-Jul,620,2450,380,3450,10280,,,3530,,,17260
20-Aug,780,2440,610,3830,8070,,,3030,,,14940
20-Sep,920,2530,880,4320,8170,,,3720,,,16200
20-Oct,1490,3520,1460,6470,11170,,,6070,,,23710
20-Nov,1900,5050,1810,8760,13000,,,7570,,,29330
20-Dec,2890,6850,1820,11550,14300,,,8820,,,34670
21-Jan,2260,7330,2240,11820,11350,,,7990,,,31160
21-Feb,2240,6810,1510,10560,8390,,,6260,,,25210
21-Mar,3060,9340,2020,14420,9250,,,8320,,,31990
21-Apr,3140,8830,2330,14310,16990,,,22610,,,53910
21-May,3700,9580,2690,15970,62360,,,36190,,,114520
21-Jun,3680,8890,2650,15220,50490,,,36770,,,102480
21-Jul,3640,7710,2960,14310,41800,,,18750,,,74860
21-Aug,2800,5540,2090,10420,10310,,,6240,,,26980
21-Sep,2290,3930,2180,8400,6020,,,4410,,,18840
21-Oct,1780,3010,1860,6660,4760,,,4310,,,15730
