,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
Jan-84,5720,5210,4450,15370,160180,,,78680,,,254240
Feb-84,5170,3650,5810,14640,88680,,,84540,,,187860
Mar-84,5760,3180,2360,11300,84030,,,82360,,,177690
Apr-84,5570,3130,1550,10240,94110,,,83290,,,187640
May-84,5300,2940,1820,10060,113930,,,71540,,,195520
Jun-84,6300,3620,1740,11660,100260,,,74700,,,186630
Jul-84,5950,4120,1950,12020,115540,,,85450,,,213010
Aug-84,6630,4120,1860,12610,118560,,,75100,,,206270
Sep-84,6410,3780,1990,12190,158560,,,68660,,,239410
Oct-84,6390,4310,1840,12550,139780,,,86780,,,239110
Nov-84,6560,5130,1650,13340,112590,,,98330,,,224260
Dec-84,7350,8350,1860,17560,88440,,,125660,,,231660
Jan-85,5870,5480,5080,16440,182010,,,82600,,,281040
Feb-85,6400,3890,5650,15930,106520,,,98780,,,221240
Mar-85,6930,3920,3320,14170,100520,,,105380,,,220080
Apr-85,6280,3230,2180,11690,100020,,,83880,,,195590
May-85,6230,3300,2210,11740,122130,,,75650,,,209530
Jun-85,6500,4130,2390,13020,116580,,,75440,,,205040
Jul-85,6120,4520,2530,13160,125590,,,83130,,,221880
Aug-85,7040,4480,2480,14000,132780,,,82850,,,229630
Sep-85,6930,4030,2750,13710,167890,,,77270,,,258870
Oct-85,7550,4590,2200,14340,146960,,,105680,,,266990
Nov-85,7770,5550,2040,15360,112050,,,121910,,,249320
Dec-85,8380,8550,2070,18990,81680,,,149990,,,250650
Jan-86,8120,5520,5640,19280,186450,,,98020,,,303750
Feb-86,7220,4050,6260,17540,101950,,,118010,,,237500
Mar-86,8890,4400,3520,16820,96070,,,129470,,,242350
Apr-86,7880,3300,2620,13790,100480,,,110610,,,224870
May-86,8130,3400,2580,14120,119020,,,91740,,,224870
Jun-86,8560,4160,2570,15290,114550,,,94820,,,224660
Jul-86,8910,4440,2780,16140,128810,,,109520,,,254460
Aug-86,9190,4060,2690,15940,148230,,,105090,,,269260
Sep-86,8520,3850,2720,15090,167670,,,94970,,,277740
Oct-86,9480,4320,2400,16200,147950,,,130270,,,294420
Nov-86,9620,5260,2040,16920,117510,,,156740,,,291160
Dec-86,8800,8530,2240,19570,84550,,,190120,,,294240
Jan-87,9750,5230,5310,20290,186670,,,139740,,,346710
Feb-87,9220,3720,6610,19550,110150,,,147840,,,277550
Mar-87,10400,3780,3080,17260,102440,,,145190,,,264880
Apr-87,9530,3620,2510,15660,111280,,,132740,,,259680
May-87,10190,3180,2490,15860,110690,,,120740,,,247290
Jun-87,9930,3600,2470,15990,107870,,,116530,,,240400
Jul-87,9930,4470,3260,17650,156530,,,142020,,,316200
Aug-87,11110,4010,3060,18180,149090,,,140430,,,307690
Sep-87,11860,3730,2770,18350,156760,,,128010,,,303130
Oct-87,11540,4430,3160,19140,183770,,,165710,,,368610
Nov-87,12970,5410,2520,20900,122620,,,183090,,,326610
Dec-87,11860,8410,2520,22780,88490,,,222840,,,334110
Jan-88,14160,5560,7330,27050,196410,,,161350,,,384800
Feb-88,11840,3910,6430,22170,112210,,,180390,,,314770
Mar-88,12780,3860,3960,20590,107550,,,185230,,,313380
Apr-88,12580,3450,3300,19320,120990,,,160480,,,300790
May-88,11470,3380,2640,17490,104010,,,157110,,,278610
Jun-88,11380,4190,3060,18630,118750,,,163830,,,301210
Jul-88,12490,4640,4090,21220,162360,,,203340,,,386910
Aug-88,13560,3910,3220,20690,136850,,,196890,,,354430
Sep-88,12780,4220,3600,20600,160580,,,179630,,,360810
Oct-88,12660,4220,3660,20550,188380,,,207250,,,416180
Nov-88,13010,5120,3070,21190,128640,,,207990,,,357820
Dec-88,12860,8540,2980,24380,101200,,,245790,,,371370
Jan-89,12600,5240,8190,26030,222180,,,168950,,,417160
Feb-89,10790,3770,8080,22640,129080,,,191050,,,342770
Mar-89,11650,3670,3930,19240,132110,,,180010,,,331370
Apr-89,11350,3250,3720,18310,141070,,,160130,,,319520
May-89,10180,3040,3020,16240,121190,,,136560,,,273980
Jun-89,11400,4190,3210,18800,139680,,,142720,,,301200
Jul-89,10740,4400,4870,20020,197910,,,175410,,,393340
Aug-89,11500,4140,3680,19330,159040,,,161400,,,339770
Sep-89,10620,3970,3540,18140,187320,,,149910,,,355370
Oct-89,9740,4210,3630,17580,217990,,,174050,,,409620
Nov-89,10770,4960,3510,19230,151410,,,192670,,,363310
Dec-89,9730,8600,4160,22490,113720,,,247420,,,383620
Jan-90,9890,5490,8610,23990,252620,,,176210,,,452820
Feb-90,9220,3980,10040,23250,155590,,,192800,,,371630
Mar-90,9610,3630,3840,17080,137550,,,189060,,,343680
Apr-90,10250,3560,4240,18050,158580,,,181060,,,357690
May-90,9060,2930,3240,15230,144810,,,149870,,,309910
Jun-90,10100,4080,3360,17540,149740,,,157340,,,324620
Jul-90,10390,4790,5650,20830,211610,,,185350,,,417790
Aug-90,11320,4440,3770,19540,181970,,,178180,,,379690
Sep-90,10390,4420,3530,18340,205840,,,162730,,,386910
Oct-90,9990,4570,3750,18300,230800,,,190620,,,439720
Nov-90,10650,4960,3040,18650,157220,,,198560,,,374430
Dec-90,10700,9510,3050,23260,123010,,,253130,,,399410
Jan-91,9680,6250,8740,24670,260000,,,177410,,,462080
Feb-91,9690,4430,10250,24370,135150,,,190570,,,350090
Mar-91,10890,4480,4070,19450,141340,,,189180,,,349970
Apr-91,8050,3270,3590,14900,124040,,,168000,,,306940
May-91,9410,3510,2860,15780,131580,,,161400,,,308760
Jun-91,10530,4440,3350,18320,151650,,,172230,,,342200
Jul-91,11290,5030,6140,22450,196820,,,208310,,,427590
Aug-91,10900,4600,4080,19580,169100,,,199310,,,387990
Sep-91,9440,4550,4080,18070,184650,,,197360,,,400080
Oct-91,9010,4830,4330,18170,225470,,,215970,,,459600
Nov-91,8740,5770,3960,18470,164330,,,223860,,,406660
Dec-91,9010,10120,3890,23010,125560,,,266750,,,415330
Jan-92,8410,6400,10030,24840,256870,,,196090,,,477800
Feb-92,8740,5030,13680,27450,146570,,,238250,,,412270
Mar-92,7600,4390,4010,16000,141860,,,217800,,,375660
Apr-92,8480,4270,3850,16600,158860,,,203830,,,379300
May-92,7770,3680,3020,14470,152300,,,175220,,,341990
Jun-92,7990,4270,2810,15070,150020,,,176940,,,342030
Jul-92,8320,5650,6710,20680,222440,,,219260,,,462380
Aug-92,7940,4800,3550,16290,188140,,,199080,,,403510
Sep-92,7050,5090,3260,15410,202780,,,190020,,,408210
Oct-92,6830,5270,3690,15800,246490,,,229320,,,491610
Nov-92,7080,6310,2630,16020,169670,,,255040,,,440730
Dec-92,8030,11000,2810,21840,130330,,,302400,,,454560
Jan-93,5460,6990,9170,21620,273790,,,242760,,,538170
Feb-93,5020,5260,13450,23730,161790,,,245460,,,430970
Mar-93,5440,5220,3290,13940,143150,,,257950,,,415040
Apr-93,4980,4710,3790,13470,165840,,,226320,,,405630
May-93,5160,4090,2600,11850,154110,,,213410,,,379360
Jun-93,5030,5210,2890,13130,159950,,,204580,,,377660
Jul-93,5880,6520,7130,19520,227790,,,244620,,,491930
Aug-93,5950,5760,3520,15230,182550,,,239930,,,437710
Sep-93,5700,5470,3410,14580,200550,,,224030,,,439160
Oct-93,5500,5890,3740,15120,252390,,,267220,,,534730
Nov-93,5780,6950,2900,15640,162860,,,285910,,,464410
Dec-93,5790,11380,2940,20100,130390,,,344040,,,494540
Jan-94,5670,7350,10420,23440,275010,,,250530,,,548980
Feb-94,5390,5850,13510,24760,159570,,,304280,,,488610
Mar-94,5750,5780,3750,15280,158240,,,307400,,,480920
Apr-94,5480,4880,4240,14610,170690,,,255130,,,440430
May-94,5840,4270,2990,13100,157810,,,214940,,,385850
Jun-94,7040,5520,3440,16000,167710,,,230940,,,414640
Jul-94,6690,7230,8790,22700,240750,,,282510,,,545960
Aug-94,6970,5820,3900,16680,190420,,,265430,,,472530
Sep-94,7220,6110,3870,17200,214800,,,253970,,,485960
Oct-94,6930,6280,4300,17520,254180,,,301590,,,573290
Nov-94,7360,7100,3370,17830,173090,,,311000,,,501920
Dec-94,7610,11870,3330,22810,140280,,,384010,,,547100
Jan-95,7660,8030,11100,26800,285140,,,303760,,,615700
Feb-95,7110,5910,16590,29600,175190,,,319050,,,523840
Mar-95,7320,5220,4390,16930,167640,,,313540,,,498110
Apr-95,7790,5620,5040,18450,186670,,,294160,,,499280
May-95,6890,4390,3450,14720,175120,,,244810,,,434660
Jun-95,7900,5480,3920,17290,183680,,,261440,,,462410
Jul-95,8420,6950,11470,26840,247170,,,329740,,,603750
Aug-95,8210,5610,4510,18330,202270,,,304900,,,525500
Sep-95,8250,6070,4470,18790,232690,,,268570,,,520050
Oct-95,8660,6240,5090,19990,272650,,,320660,,,613300
Nov-95,8960,7050,4060,20080,187590,,,342930,,,550600
Dec-95,9800,12230,4110,26130,155020,,,422260,,,603410
Jan-96,9400,7600,13680,30670,312870,,,317210,,,660750
Feb-96,8200,6320,17320,31840,184470,,,392690,,,609000
Mar-96,8420,5670,6060,20150,185860,,,365550,,,571570
Apr-96,7170,5180,5350,17700,208360,,,333200,,,559260
May-96,6330,4370,3670,14370,179740,,,261510,,,455620
Jun-96,7300,5930,4600,17830,200650,,,306930,,,525410
Jul-96,7530,6760,13070,27360,261300,,,358230,,,646890
Aug-96,7740,5590,5220,18550,226290,,,329240,,,574070
Sep-96,7420,5980,5050,18450,251080,,,309160,,,578680
Oct-96,7510,6430,6200,20130,302050,,,350360,,,672550
Nov-96,7640,7480,4460,19580,214120,,,375570,,,609270
Dec-96,7830,12710,4160,24700,168740,,,465180,,,658620
Jan-97,7290,7680,15120,30090,330830,,,342890,,,703800
Feb-97,6640,6190,19720,32550,194770,,,407960,,,635280
Mar-97,7350,6240,6490,20080,208200,,,390900,,,619190
Apr-97,6460,4800,6040,17300,209200,,,325900,,,552390
May-97,6140,4600,4400,15140,197480,,,289100,,,501710
Jun-97,6220,5720,5150,17090,221980,,,308180,,,547250
Jul-97,6520,6940,14780,28240,285080,,,397360,,,710680
