date,close,close_raw,open,high,low,tvol,tamt,sign
2007-10-31,5.7128,189.138,5.643,5.7179,5.5624,29761100.0,5628950000.0,2
2007-11-01,5.6373,186.639,5.6722,5.7173,5.4135,28751200.0,5366100000.0,5
2007-11-02,5.6502,187.067,5.6905,5.6974,5.5185,35789800.0,6695090000.0,2
2007-11-05,5.5994,185.384,5.5726,5.683,5.541,28720500.0,5324330000.0,5
2007-11-06,5.7681,190.97,5.6256,5.7744,5.572,34097300.0,6511570000.0,2
2007-11-07,5.603,185.503,5.7326,5.7949,5.5979,35511700.0,6587520000.0,5
2007-11-08,5.2772,174.716,5.6141,5.621,5.0457,67513500.0,11795700000.0,5
2007-11-09,4.9735,164.663,5.1474,5.2668,4.9687,54513500.0,8976360000.0,5
2007-11-12,4.6244,153.103,4.9708,5.0436,4.5302,63180800.0,9673170000.0,5
2007-11-13,5.1116,169.233,4.8376,5.1423,4.6244,62123100.0,10513300000.0,2
2007-11-14,4.9958,165.4,5.3281,5.3405,4.9245,51756000.0,8560440000.0,5
2007-11-15,4.9414,163.598,5.0042,5.1004,4.8211,53121800.0,8690620000.0,5
2007-11-16,5.0042,165.679,4.9714,5.0232,4.7919,49410400.0,8186270000.0,2
2007-11-19,4.9308,163.249,4.9955,5.0586,4.8752,41229600.0,6730690000.0,5
2007-11-20,5.0782,168.128,4.9826,5.1666,4.9182,55130000.0,9268900000.0,2
2007-11-21,5.0665,167.74,4.9877,5.1835,4.9525,43520900.0,7300200000.0,5
2007-11-23,5.1591,170.807,5.1729,5.1744,5.1053,16634100.0,2841230000.0,2
2007-11-26,5.1892,171.804,5.2208,5.3314,5.1835,46634100.0,8011920000.0,2
2007-11-27,5.2575,174.063,5.2698,5.2869,5.1131,47036700.0,8187350000.0,2
2007-11-28,5.4202,179.45,5.3179,5.4316,5.2737,41104000.0,7376110000.0,2
2007-11-29,5.5425,183.502,5.3964,5.569,5.388,37533100.0,6887390000.0,2
2007-11-30,5.4803,181.441,5.6343,5.6451,5.4045,42421500.0,7697000000.0,5
2007-12-03,5.3792,178.095,5.4695,5.538,5.3443,34338200.0,6115460000.0,5
2007-12-04,5.4078,179.041,5.3278,5.4406,5.323,27635700.0,4947920000.0,2
2007-12-05,5.5789,184.707,5.5004,5.594,5.486,31871500.0,5886880000.0,2
2007-12-06,5.7129,189.141,5.5997,5.7173,5.5976,32159600.0,6082690000.0,2
2007-12-07,5.8436,193.469,5.7305,5.8643,5.6553,38073700.0,7366080000.0,2
2007-12-10,5.8409,193.38,5.8222,5.8845,5.7952,25799100.0,4989040000.0,5
2007-12-11,5.6704,187.734,5.8571,5.9197,5.6358,39675900.0,7448510000.0,5
2007-12-12,5.7401,190.044,5.8177,5.849,5.5868,43773600.0,8318900000.0,2
2007-12-13,5.7693,191.01,5.72,5.7781,5.6487,30925600.0,5907100000.0,2
2007-12-14,5.726,189.576,5.7254,6.015,5.7005,24092400.0,4567340000.0,5
2007-12-17,5.5459,183.612,5.7359,5.794,5.5032,36596100.0,6719490000.0,5
2007-12-18,5.5032,182.198,5.6096,5.634,5.3714,43664400.0,7955560000.0,5
2007-12-19,5.5074,182.337,5.5032,5.5531,5.4406,29552800.0,5388570000.0,2
2007-12-20,5.6304,186.41,5.5768,5.649,5.5137,27644800.0,5153270000.0,2
2007-12-21,5.8319,193.081,5.7179,5.832,5.711,35544900.0,6863040000.0,2
2007-12-24,5.9789,197.95,5.8656,5.9949,5.8583,17152400.0,3395320000.0,2
2007-12-26,5.9834,198.099,5.9853,6.0439,5.9194,25133300.0,4978880000.0,2
2007-12-27,5.972,197.721,5.9834,6.104,5.9489,28411600.0,5617570000.0,5
2007-12-28,6.0099,198.976,6.0328,6.0619,5.9212,24987400.0,4971890000.0,2
2007-12-31,5.9573,197.233,6.0,6.0301,5.9474,19261800.0,3799070000.0,5
2008-01-02,5.8598,194.007,5.9931,6.0229,5.791,38542000.0,7477420000.0,5
2008-01-03,5.8626,194.097,5.877,5.9365,5.7952,30073800.0,5837230000.0,2
2008-01-04,5.415,179.28,5.7579,5.8045,5.3801,51993900.0,9321470000.0,5
2008-01-07,5.3426,176.881,5.4511,5.5218,5.1197,74006800.0,13090400000.0,5
2008-01-08,5.1504,170.518,5.4177,5.4875,5.1368,54422000.0,9279930000.0,5
2008-01-09,5.3955,178.633,5.1519,5.3985,5.0617,64840700.0,11582700000.0,2
2008-01-10,5.354,177.259,5.3408,5.4436,5.2755,52963400.0,9388230000.0,5
2008-01-11,5.1937,171.952,5.2932,5.3489,5.1128,44010100.0,7567630000.0,5
2008-01-14,5.3768,178.016,5.3389,5.3961,5.2683,39301800.0,6996340000.0,2
2008-01-15,5.0839,168.317,5.345,5.3901,4.9522,83937900.0,14128200000.0,5
2008-01-16,4.8012,158.958,4.9693,5.083,4.7128,79192000.0,12588200000.0,5
2008-01-17,4.8388,160.202,4.8575,4.9732,4.7645,62853400.0,10069200000.0,2
2008-01-18,4.8529,160.67,4.8635,4.9849,4.8003,61583700.0,9894640000.0,2
2008-01-22,4.6809,154.975,4.4529,4.8114,4.391,86963500.0,13477200000.0,5
2008-01-23,4.1826,138.477,4.0959,4.2105,3.7937,120466000.0,16681800000.0,5
2008-01-24,4.0782,135.02,4.2102,4.2316,3.9702,71638000.0,9672560000.0,5
2008-01-25,3.9101,129.454,4.1802,4.1831,3.898,55526300.0,7188100000.0,5
2008-01-28,3.9101,129.454,3.8544,4.006,3.803,52673000.0,6818730000.0,3
2008-01-29,3.9561,130.978,3.9443,3.9937,3.8812,39285100.0,5145480000.0,2
2008-01-30,3.9753,131.615,3.951,4.0737,3.9098,44394600.0,5843000000.0,2
2008-01-31,4.071,134.781,3.8932,4.1098,3.8917,48059700.0,6477540000.0,2
2008-02-01,4.0225,133.178,4.0975,4.108,3.9753,36098000.0,4807460000.0,5
2008-02-04,3.9594,131.087,4.0364,4.0872,3.9525,32115500.0,4209920000.0,5
2008-02-05,3.8905,128.807,3.9227,4.0301,3.8767,40751500.0,5249080000.0,5
2008-02-06,3.6692,121.478,3.9347,3.9675,3.6622,56188200.0,6825630000.0,5
2008-02-07,3.6463,120.722,3.6081,3.7528,3.5269,74450300.0,8987790000.0,5
2008-02-08,3.7738,124.944,3.6716,3.7805,3.6571,48427500.0,6050730000.0,2
2008-02-11,3.8932,128.897,3.8499,3.9092,3.8256,42908200.0,5530740000.0,2
2008-02-12,3.7552,124.326,3.9308,3.9398,3.7179,43784900.0,5443610000.0,5
2008-02-13,3.8917,128.847,3.8099,3.9032,3.7783,34590500.0,4456880000.0,2
2008-02-14,3.8334,126.915,3.8917,3.9338,3.8198,34080700.0,4325360000.0,5
2008-02-15,3.7483,124.097,3.7976,3.822,3.7311,32189200.0,3994590000.0,5
2008-02-19,3.6746,121.658,3.7892,3.812,3.6523,35894500.0,4366850000.0,5
2008-02-20,3.7239,123.291,3.6752,3.7474,3.6596,34551400.0,4259870000.0,2
2008-02-21,3.6553,121.02,3.791,3.8036,3.6349,33504100.0,4054660000.0,5
2008-02-22,3.5928,118.949,3.6836,3.6845,3.4848,54638400.0,6499190000.0,5
2008-02-25,3.6012,119.228,3.5666,3.6141,3.5087,44884700.0,5351520000.0,2
2008-02-26,3.5835,118.641,3.538,3.6418,3.4719,53745900.0,6376470000.0,5
2008-02-27,3.698,122.434,3.5558,3.7008,3.5516,52683400.0,6450240000.0,2
2008-02-28,3.9071,129.355,3.8256,3.9759,3.7825,57794700.0,7476030000.0,2
2008-02-29,3.76,124.486,3.8884,3.9161,3.7534,44838500.0,5581770000.0,5
2008-03-03,3.6611,121.21,3.7426,3.7889,3.5489,56920500.0,6899330000.0,5
2008-03-04,3.748,124.087,3.6689,3.7558,3.621,63763700.0,7912240000.0,2
2008-03-05,3.7441,123.958,3.7167,3.7636,3.6767,43636900.0,5409150000.0,5
