date,close,close_raw,open,high,low,tvol,tamt,sign
2007-11-07,18.1916,732.94,18.3949,18.5465,17.9484,8273430.0,6063930000.0,5
2007-11-08,17.2211,693.84,18.2328,18.24,16.8076,16517300.0,11460400000.0,5
2007-11-09,16.4798,663.97,16.7729,16.9243,16.4113,11391800.0,7563820000.0,5
2007-11-12,15.688,632.07,16.3251,16.6277,15.5426,10235500.0,6469560000.0,5
2007-11-13,16.3949,660.55,16.0087,16.4041,15.688,8445300.0,5578550000.0,2
2007-11-14,15.9265,641.68,16.7108,16.7657,15.7923,8102400.0,5199150000.0,5
2007-11-15,15.6279,629.65,15.8493,16.071,15.4877,6972500.0,4390230000.0,5
2007-11-16,15.7267,633.63,15.7344,15.7729,15.2897,9044060.0,5730590000.0,2
2007-11-19,15.5336,625.85,15.6265,15.8047,15.3512,5532460.0,3462490000.0,5
2007-11-20,16.0968,648.54,15.7975,16.3589,15.7079,9840580.0,6382010000.0,2
2007-11-21,16.3941,660.52,15.9784,16.6287,15.9365,7014230.0,4633040000.0,2
2007-11-23,16.7957,676.7,16.6294,16.8349,16.5825,2739540.0,1853850000.0,2
2007-11-26,16.5302,666.0,16.8826,17.2102,16.5053,6792110.0,4523540000.0,5
2007-11-27,16.718,673.57,16.7486,16.789,16.1395,8905900.0,5998740000.0,2
2007-11-28,17.1819,692.26,16.93,17.2326,16.6826,7919050.0,5482040000.0,2
2007-11-29,17.2996,697.0,17.1445,17.4433,17.0705,6214860.0,4331760000.0,2
2007-11-30,17.2003,693.0,17.6471,17.6486,16.93,7902350.0,5476330000.0,5
2007-12-03,16.9156,681.53,17.1509,17.2499,16.9059,4329480.0,2950670000.0,5
2007-12-04,16.9809,684.16,16.8357,17.1755,16.8062,4232400.0,2895640000.0,2
2007-12-05,17.3371,698.51,17.1936,17.3475,17.0638,4212220.0,2942280000.0,2
2007-12-06,17.7528,715.26,17.3194,17.7851,17.2998,4916010.0,3516230000.0,2
2007-12-07,17.7431,714.87,17.7461,17.8208,17.6347,3852520.0,2754050000.0,5
2007-12-10,17.8312,718.42,17.7709,17.9896,17.7215,3858280.0,2771870000.0,2
2007-12-11,17.3543,699.204,17.869,17.895,17.3438,6142420.0,4294810000.0,5
2007-12-12,17.3579,699.35,17.7215,17.7295,17.0886,6166130.0,4312290000.0,2
2007-12-13,17.2264,694.05,17.2825,17.315,16.9077,5182200.0,3596710000.0,5
2007-12-14,17.1248,689.96,17.064,17.3666,17.0578,3673600.0,2534630000.0,5
2007-12-17,16.6103,669.23,17.0762,17.2604,16.4723,5489500.0,3673740000.0,5
2007-12-18,16.7126,673.35,16.7327,16.796,16.1951,7166880.0,4825820000.0,2
2007-12-19,16.8124,677.37,16.7339,16.8652,16.6046,4425120.0,2997450000.0,2
2007-12-20,17.1181,689.69,17.0223,17.1507,16.8928,4422920.0,3050440000.0,2
2007-12-21,17.2919,696.69,17.3214,17.3557,17.2063,5394430.0,3758240000.0,2
2007-12-24,17.3922,700.73,17.2497,17.3922,17.2018,1628440.0,1141100000.0,2
2007-12-26,17.6431,710.84,17.349,17.7022,17.3296,2530380.0,1798690000.0,2
2007-12-27,17.3924,700.74,17.5495,17.7712,17.3924,2943240.0,2062450000.0,5
2007-12-28,17.4368,702.53,17.4964,17.5714,17.2882,2562700.0,1800370000.0,2
2007-12-31,17.1626,691.48,17.3385,17.4358,17.1402,2377730.0,1644150000.0,5
2008-01-02,17.0065,685.19,17.1971,17.3088,16.8213,4306850.0,2951010000.0,5
2008-01-03,17.0099,685.33,17.0082,17.0477,16.7913,3252850.0,2229270000.0,2
2008-01-04,16.3068,657.0,16.8699,16.9015,16.2571,5360910.0,3522120000.0,5
2008-01-07,16.1144,649.25,16.2308,16.4378,15.8191,6404940.0,4158410000.0,5
2008-01-08,15.6783,631.68,16.2075,16.3802,15.6615,5341950.0,3374400000.0,5
2008-01-09,16.2125,653.2,15.6376,16.2159,15.4507,6744240.0,4405340000.0,2
2008-01-10,16.0519,646.73,16.0092,16.3117,15.8876,6334650.0,4096810000.0,5
2008-01-11,15.8414,638.25,15.9519,16.1199,15.6394,4977840.0,3177110000.0,5
2008-01-14,16.2279,653.82,16.1613,16.3167,16.0151,4448670.0,2908630000.0,2
2008-01-15,15.8265,637.65,16.0313,16.1095,15.7702,5584770.0,3561130000.0,5
2008-01-16,15.2879,615.95,15.6111,15.8846,14.9399,10562600.0,6506030000.0,5
2008-01-17,14.9116,600.79,15.4073,15.5309,14.8426,8216870.0,4936610000.0,5
2008-01-18,14.8982,600.25,15.0995,15.14,14.8536,8542070.0,5127380000.0,5
2008-01-22,14.5036,584.35,13.9496,14.83,13.929,9501790.0,5552370000.0,5
2008-01-23,13.6168,548.62,13.9169,14.0978,12.8816,16971800.0,9311040000.0,5
2008-01-24,14.2589,574.49,13.8694,14.3879,13.7538,9409330.0,5405570000.0,2
2008-01-25,14.0581,566.4,14.6888,14.7679,14.0526,6965930.0,3945500000.0,5
2008-01-28,13.7995,555.98,14.1715,14.203,13.6163,5816620.0,3233920000.0,5
2008-01-29,13.6639,550.52,13.9109,13.9322,13.4195,6284570.0,3459780000.0,5
2008-01-30,13.6081,548.27,13.6309,13.9099,13.4899,7947340.0,4357290000.0,5
2008-01-31,14.006,564.3,13.3783,14.2219,13.2611,14871200.0,8391830000.0,2
2008-02-01,12.8047,515.9,13.1216,13.3202,12.6582,17602400.0,9081100000.0,5
2008-02-04,12.2966,495.43,12.6351,12.7272,12.2251,13160100.0,6519900000.0,5
2008-02-05,12.5788,506.8,12.1477,12.6334,12.1251,11210000.0,5681240000.0,2
2008-02-06,12.4525,501.71,12.6865,12.6873,12.3587,7640490.0,3833310000.0,5
2008-02-07,12.5329,504.95,12.3321,12.7622,12.28,7930090.0,4004300000.0,2
2008-02-08,12.8243,516.69,12.6436,12.8501,12.626,6831630.0,3529830000.0,2
2008-02-11,12.9352,521.16,12.9193,12.9985,12.7426,5826680.0,3036640000.0,2
2008-02-12,12.859,518.09,12.9906,13.1695,12.7334,6662920.0,3451990000.0,5
