date,close,close_raw,open,high,low,tvol,tamt,sign
2007-08-20,20.2194,25.2833,20.1621,20.384,20.0906,49954700.0,1263020000.0,2
2007-08-21,20.0834,25.1133,20.1049,20.2623,19.9403,50786200.0,1275410000.0,5
2007-08-22,20.1908,25.2475,20.2265,20.2623,20.0405,44763400.0,1130160000.0,2
2007-08-23,20.2479,25.319,20.2336,20.2695,20.1049,33886600.0,857974000.0,2
2007-08-24,20.6129,25.7753,20.1836,20.6344,20.0834,45162700.0,1164080000.0,2
2007-08-27,20.3839,25.489,20.4698,20.5842,20.3195,32791100.0,835811000.0,5
2007-08-28,19.9832,24.988,20.2479,20.3839,19.9689,43924400.0,1097580000.0,5
2007-08-29,20.4555,25.5785,20.1263,20.4698,19.9045,45755100.0,1170350000.0,2
2007-08-30,20.3553,25.4532,20.3338,20.6987,20.2623,33691200.0,857549000.0,5
2007-08-31,20.5556,25.7037,20.5342,20.6915,20.2909,42521500.0,1092960000.0,2
2007-09-04,20.6129,25.7753,20.3911,20.8204,20.3768,45689600.0,1177660000.0,2
2007-09-05,20.3768,25.4801,20.4984,20.5556,20.3338,47674300.0,1214750000.0,5
2007-09-06,20.6844,25.8648,20.434,20.756,20.4268,45430800.0,1175060000.0,2
2007-09-07,20.3482,25.4443,20.4769,20.6272,20.2623,52163800.0,1327270000.0,5
2007-09-10,20.3768,25.4801,20.5127,20.5699,20.3267,37253600.0,949224000.0,2
2007-09-11,20.6987,25.8827,20.4841,20.7131,20.4483,34380800.0,889867000.0,2
2007-09-12,20.6987,25.8827,20.6129,20.8704,20.6057,42465800.0,1099130000.0,3
2007-09-13,20.8633,26.0885,20.8347,20.9348,20.7202,35288600.0,920626000.0,2
2007-09-14,20.7774,25.9811,20.7345,20.8275,20.6629,33498500.0,870327000.0,5
2007-09-17,20.5521,25.6993,20.5985,20.6629,20.4769,39536500.0,1016060000.0,5
2007-09-18,20.6987,25.8827,20.5342,20.7238,20.2265,77472300.0,2005190000.0,2
2007-09-19,20.5127,25.6501,20.6558,20.6844,20.2479,94242200.0,2417320000.0,5
2007-09-20,20.3339,25.4265,20.3768,20.4483,20.2766,67168900.0,1707870000.0,5
2007-09-21,20.4983,25.6321,20.527,20.6129,20.3482,135636000.0,3476640000.0,2
2007-09-24,20.8061,26.0169,20.6129,21.1853,20.6057,104460000.0,2717720000.0,2
2007-09-25,21.1494,26.4462,20.849,21.1495,20.8275,75620900.0,1999890000.0,2
2007-09-26,21.1065,26.3926,21.2354,21.357,21.0922,60344200.0,1592640000.0,5
2007-09-27,21.0994,26.3837,21.2497,21.264,21.0637,43407100.0,1145240000.0,5
2007-09-28,21.078,26.3569,21.0994,21.2425,20.9134,45819100.0,1207650000.0,5
2007-10-01,21.2998,26.6343,21.078,21.314,21.0421,43875100.0,1168580000.0,2
2007-10-02,21.2497,26.5716,21.2497,21.357,21.1567,33705800.0,895618000.0,5
2007-10-03,21.0725,26.3501,21.2568,21.357,20.9563,37633900.0,991657000.0,5
2007-10-04,21.2568,26.5805,21.1495,21.2997,21.0637,37868000.0,1006550000.0,2
2007-10-05,21.3498,26.6968,21.3856,21.4571,21.2711,45016500.0,1201800000.0,2
2007-10-08,21.3498,26.6968,21.221,21.357,21.1781,30265600.0,807995000.0,3
2007-10-09,21.5357,26.9293,21.4857,21.7433,21.4643,63624500.0,1713360000.0,2
2007-10-10,21.6288,27.0457,21.4929,21.729,21.4857,32251400.0,872262000.0,2
2007-10-11,21.3999,26.7594,21.679,21.915,21.314,50789200.0,1359090000.0,5
2007-10-12,21.5859,26.9921,21.4857,21.7504,21.4285,31121100.0,840024000.0,2
2007-10-15,21.4929,26.8758,21.5358,21.7004,21.4643,47150500.0,1267210000.0,5
2007-10-16,21.6933,27.1263,21.636,21.8793,21.6288,56286200.0,1526840000.0,2
2007-10-17,22.237,27.8062,22.0009,22.3443,21.9293,86092400.0,2393900000.0,2
2007-10-18,22.2943,27.8778,22.3372,22.3443,21.915,49215100.0,1372010000.0,2
2007-10-19,21.5859,26.9921,22.2442,22.2442,21.543,75200100.0,2029810000.0,5
2007-10-22,21.8291,27.2962,21.5501,21.9651,21.5501,58785000.0,1604610000.0,2
2007-10-23,22.1082,27.6452,21.9723,22.2656,21.9723,49956100.0,1381050000.0,2
2007-10-24,22.3586,27.9583,22.0724,22.3944,21.822,77979100.0,2180160000.0,2
2007-10-25,22.8881,28.6204,22.5876,23.0526,22.5303,169589000.0,4853700000.0,2
2007-10-26,25.0631,31.3401,25.7643,25.7786,24.7268,288121000.0,9029750000.0,2
2007-10-29,24.734,30.9286,24.9343,25.2492,24.6481,114656000.0,3546140000.0,5
2007-10-30,25.4495,31.8233,24.591,25.4638,24.5766,107297000.0,3414550000.0,2
2007-10-31,26.3366,32.9326,25.4137,26.4726,25.4066,185636000.0,6113470000.0,2
2007-11-01,26.5155,33.1563,26.1363,26.8232,26.0147,152079000.0,5042370000.0,2
2007-11-02,26.5155,33.1563,26.6301,26.8304,26.0576,96399000.0,3196230000.0,3
2007-11-05,26.2795,32.8611,26.3009,26.5442,26.2079,75485400.0,2480530000.0,5
2007-11-06,26.0505,32.5748,26.1793,26.2293,25.6642,100967000.0,3288970000.0,5
2007-11-07,25.4137,31.7785,25.7858,25.8716,25.3636,74897700.0,2380140000.0,5
